ID,Acceleration,Added on,Age,Aggression,Agility,Att. WR,Balance,Ball Control,Club,Composure,Crossing,Curve,Def. WR,Defending,Diving,Dribbling,FK. Accuracy,Finishing,Foot,Fullname,Handling,Heading Accuracy,Height,Interceptions,Intl. Rep,Jumping,Kicking,League,Long Passing,Long Shots,Marking,Nation,Origin,Pace,Passing,Penalties,Physicality,Positioning,R.Face,Reactions,Reflexes,Revision,Shooting,Short Passing,Shot Power,Skills,Sliding Tackle,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys,Weak Foot,Weight
1918,31,2018-09-19,33 years old,44,67,Med,33,30,Tottenham Hotspur,83,70,40,Med,33,30,70,84,Right,Fernando Javier Llorente Torres,25,"191cm | 6'3""",33,3,71,Premier League,44,79,25,Spain,N\A,31,61,79,71,76,,33,Normal,76,44,84,3,90,29,55,90,55,61,79,3,92
1919,80,2018-09-19,27 years old,73,77,High,76,62,Arsenal,78,71,62,High,43,62,71,79,Right,Danny Welbeck,32,"185cm | 6'1""",43,3,75,Premier League,69,75,32,England,N\A,80,70,78,75,74,,76,Normal,74,69,79,3,74,76,79,74,79,70,75,3,73
1920,83,2018-09-19,21 years old,78,79,High,78,69,Everton,74,72,60,High,37,69,72,77,Right,Richarlison de Andrade,29,"181cm | 5'11""",37,1,77,Premier League,69,74,29,Brazil,N\A,83,68,75,77,71,,78,Normal,71,69,77,4,70,84,78,70,78,68,74,5,70
1921,76,2018-09-19,20 years old,72,74,High,69,76,Milan,74,56,42,Med,29,,76,56,80,Right,Patrick Cutrone,,14,"183cm | 6'0""",29,1,71,,Serie A TIM,48,80,14,Italy,N\A,76,56,74,71,74,,69,,Normal,74,48,80,4,76,75,75,76,75,56,80,3,78
1922,79,2018-09-19,21 years old,81,73,Med,83,78,Milan,74,50,48,Med,76,,78,50,42,Right,Davide Calabria,,76,"176cm | 5'9""",76,1,71,,Serie A TIM,78,30,76,Italy,N\A,79,68,62,71,43,,83,,Normal,43,78,42,3,64,81,69,64,69,68,30,3,70
1923,71,2018-09-19,27 years old,77,78,Med,77,75,Milan,74,76,64,Med,70,,75,76,76,Left,Andrea Bertolacci,,70,"178cm | 5'10""",70,2,70,,Serie A TIM,72,62,70,Italy,N\A,71,76,78,70,69,,77,,Normal,69,72,76,4,64,69,65,64,65,76,62,3,75
1924,47,2018-09-19,29 years old,64,48,Med,32,32,Sporting CP,73,47,31,Med,79,,32,47,21,Right,André Almeida Pinto,,77,"194cm | 6'4""",79,1,77,,Liga NOS,34,34,77,Portugal,N\A,47,50,41,77,36,,32,,Normal,36,34,21,2,77,47,30,77,30,50,34,2,86
1925,70,2018-09-19,21 years old,84,77,Med,78,69,Napoli,76,78,37,High,73,,69,78,54,Right,Amadou Diawara,,77,"184cm | 6'0""",73,2,75,,Serie A TIM,64,39,77,Guinea,N\A,70,73,66,75,50,,78,,Normal,50,64,54,3,59,70,58,59,58,73,39,3,74
1926,77,2018-09-19,23 years old,64,77,High,63,67,Napoli,72,79,57,Med,64,,67,79,62,Right,Marko Rog,,58,"180cm | 5'11""",64,2,68,,Serie A TIM,75,62,58,Croatia,N\A,77,78,71,68,67,,63,,CL,67,75,62,4,47,79,48,47,48,78,62,3,73
1927,85,2018-09-19,27 years old,78,77,High,77,70,Napoli,69,63,47,Med,73,,70,63,67,Right,Kévin Malcuit,,71,"178cm | 5'10""",73,2,77,,Serie A TIM,77,67,71,France,N\A,85,70,67,77,64,,77,,CL,64,77,67,3,63,80,72,63,72,70,67,3,75
1928,78,2018-09-19,25 years old,34,79,Med,50,40,FC Porto,76,55,21,Med,42,78,40,55,17,Right,José Pedro Malheiro de Sá,75,18,"192cm | 6'4""",42,1,73,68,Liga NOS,18,15,18,Portugal,N\A,78,68,19,73,75,,50,79,Normal,75,18,17,1,14,42,60,14,60,68,15,2,85
1929,69,2018-09-19,34 years old,74,75,High,70,83,FC Porto,74,65,50,Med,77,,83,65,70,Right,Maximiliano Pereira,,78,"173cm | 5'8""",77,3,71,,Liga NOS,77,57,78,Uruguay,N\A,69,71,76,71,62,,70,,Normal,62,77,70,2,62,70,75,62,75,71,57,3,73
1930,93,2018-09-19,27 years old,61,80,Med,87,70,FC Porto,73,67,59,Low,30,,70,67,76,Left,Hernâni Jorge Santos Fortes,,21,"178cm | 5'10""",30,2,57,,Liga NOS,73,65,21,Portugal,N\A,93,69,69,57,68,,87,,CL,68,73,76,4,56,93,63,56,63,69,65,2,69
1931,65,2018-09-19,30 years old,48,80,Med,73,65,FC Porto,77,71,57,Med,27,,65,71,78,Right,Adrián López Alvarez,,32,"183cm | 6'0""",27,2,61,,Liga NOS,60,80,32,Spain,N\A,65,67,78,61,78,,73,,Normal,78,60,78,3,71,70,74,71,74,67,80,3,73
1932,73,2018-09-19,22 years old,62,80,High,83,67,Roma,74,73,56,Med,36,,67,73,78,Left,Patrik Schick,,22,"186cm | 6'1""",36,2,66,,Serie A TIM,64,77,22,Czech Republic,N\A,73,69,72,66,74,,83,,Normal,74,64,78,4,74,74,69,74,69,69,77,2,73
1933,88,2018-09-19,23 years old,76,75,High,65,65,Roma,76,68,60,Med,73,,65,68,66,Right,Rick Karsdorp,,67,"182cm | 6'0""",73,1,75,,Serie A TIM,79,53,67,Holland,N\A,88,73,81,75,64,,65,,CL,64,79,66,3,69,86,75,69,75,73,53,3,80
1934,82,2018-09-19,21 years old,61,80,Med,84,82,Roma,71,73,68,Med,37,,82,73,70,Left,Cengiz Ünder,,29,"173cm | 5'8""",37,1,50,,Serie A TIM,80,71,29,Turkey,N\A,82,73,79,50,74,,84,,Normal,74,80,70,3,58,83,48,58,48,73,71,4,66
1935,75,2018-09-19,22 years old,74,65,Med,69,65,Paris Saint-Germain,76,56,38,High,77,,65,56,48,Left,Thilo Kehrer,,75,"186cm | 6'1""",77,1,73,,Ligue 1 Conforama,56,37,75,Germany,N\A,75,57,65,73,43,,69,,Normal,43,56,48,3,76,74,78,76,78,57,37,5,76
1936,83,2018-09-19,25 years old,62,81,Med,86,74,Paris Saint-Germain,67,70,66,Med,25,,74,70,76,Right,Jesé Rodríguez Ruíz,,34,"178cm | 5'10""",25,2,56,,Ligue 1 Conforama,72,72,34,Spain,N\A,83,74,74,56,72,,86,,CL,72,72,76,4,43,86,72,43,72,74,72,4,72
1937,76,2018-09-19,21 years old,72,81,Med,78,79,Paris Saint-Germain,70,73,69,High,70,,79,73,73,Right,Christopher Nkunku,,70,"179cm | 5'10""",70,1,66,,Ligue 1 Conforama,69,77,70,France,N\A,76,75,80,66,76,,78,,CL,76,69,73,3,59,77,59,59,59,75,77,3,72
1938,77,2018-09-19,29 years old,76,80,Med,76,66,Paris Saint-Germain,74,70,44,Med,38,,66,70,77,Right,Eric Maxim Choupo-Moting,,40,"191cm | 6'3""",38,2,71,,Ligue 1 Conforama,65,75,40,Cameroon,Transfers,77,69,77,71,73,,76,,Normal,73,65,77,4,74,76,67,74,67,69,75,4,91
1939,79,2018-09-19,25 years old,78,84,High,87,89,Paris Saint-Germain,77,70,51,Med,72,,89,70,74,Left,Juan Bernat Velasco,,74,"170cm | 5'7""",72,2,65,,Ligue 1 Conforama,80,57,74,Spain,N\A,79,74,63,65,61,,87,,CL,61,80,74,4,53,80,74,53,74,74,57,3,67
1940,78,2018-09-19,24 years old,75,79,High,78,61,Lazio,70,75,63,Med,37,,61,75,74,Right,Joaquín Correa,,36,"189cm | 6'2""",37,1,67,,Serie A TIM,74,70,36,Argentina,N\A,78,74,76,67,71,,78,,Normal,71,74,74,3,43,76,32,43,32,74,70,4,77
1941,91,2018-09-19,24 years old,76,79,High,78,79,Lazio,78,68,46,Med,71,,79,68,61,Left,Jordan Lukaku,,77,"177cm | 5'10""",71,2,80,,Serie A TIM,79,54,77,Belgium,N\A,91,70,76,80,61,,78,,Normal,61,79,61,4,62,89,74,62,74,70,54,4,86
1942,69,2018-09-19,30 years old,60,72,Med,61,67,Lazio,78,61,68,Med,44,,67,61,82,Left,Felipe Caicedo,,43,"183cm | 6'0""",44,2,80,,Serie A TIM,59,72,43,Ecuador,N\A,69,63,84,80,74,,61,,Normal,74,59,82,3,75,69,75,75,75,63,72,3,82
1943,80,2018-09-19,37 years old,27,83,Med,56,53,Watford,71,59,13,Med,50,80,53,59,12,Right,Heurelho Silva Gomes,72,20,"191cm | 6'3""",50,2,77,60,Premier League,15,15,20,Brazil,N\A,80,60,30,77,72,,56,83,Normal,72,15,12,1,14,50,76,14,76,60,15,2,95
1944,76,2018-09-19,34 years old,79,74,High,71,73,Watford,73,54,71,Med,75,,73,54,62,Left,Jose Holebas,,69,"185cm | 6'1""",75,2,78,,Premier League,79,57,69,Greece,N\A,76,71,82,78,65,,71,,Normal,65,79,62,3,74,75,73,74,73,71,57,2,81
1945,69,2018-09-19,29 years old,86,76,High,68,63,Watford,79,70,56,Med,74,,63,70,68,Right,Daryl Janmaat,,75,"185cm | 6'1""",74,2,76,,Premier League,79,60,75,Holland,N\A,69,72,76,76,65,,68,,Normal,65,79,68,3,71,68,69,71,69,72,60,3,80
1946,56,2018-09-19,30 years old,70,69,High,62,71,Watford,74,74,49,Med,35,,71,74,77,Right,Troy Deeney,,29,"183cm | 6'0""",35,2,84,,Premier League,55,76,29,England,N\A,56,66,86,84,78,,62,,Normal,78,55,77,2,82,54,81,82,81,66,76,3,90
1947,76,2018-09-19,35 years old,32,80,Med,45,50,Watford,70,42,17,Med,50,76,50,42,14,Left,Ben Foster,78,23,"193cm | 6'4""",50,2,76,73,Premier League,15,18,23,England,N\A,76,73,27,76,78,,45,80,Normal,78,15,14,1,14,50,75,14,75,73,18,3,90
1948,51,2018-09-19,30 years old,78,72,Low,36,61,Watford,78,69,54,Low,72,,61,69,73,Right,Etienne Capoue,,73,"190cm | 6'3""",72,2,74,,Premier League,70,70,73,France,N\A,51,72,76,74,71,,36,,Normal,71,70,73,3,70,54,69,70,69,72,70,3,87
1949,64,2018-09-19,26 years old,68,70,Med,68,55,Fenerbahçe SK,73,52,36,Med,78,,55,52,44,Right,Diego Reyes,,79,"189cm | 6'2""",78,3,68,,Süper Lig,49,45,79,Mexico,N\A,64,62,49,68,46,,68,,Normal,46,49,44,2,79,63,70,79,70,62,45,3,74
1950,67,2018-09-19,32 years old,86,69,Med,66,62,Fenerbahçe SK,80,58,54,Med,77,,62,58,56,Right,Mehmet Topal,,86,"187cm | 6'2""",77,2,79,,Süper Lig,49,58,86,Turkey,N\A,67,63,82,79,66,,66,,Normal,66,49,56,3,70,67,81,70,81,63,58,5,82
1951,75,2018-09-19,28 years old,84,79,High,86,81,Fenerbahçe SK,77,74,57,Med,56,,81,74,78,Left,André Ayew,,52,"176cm | 5'9""",56,3,76,,Süper Lig,75,73,52,Ghana,N\A,75,73,75,76,73,,86,,Normal,73,75,78,4,75,75,89,75,89,73,73,3,72
1952,66,2018-09-19,24 years old,79,72,Med,66,71,Bayer 04 Leverkusen,75,69,46,Med,76,,71,69,46,Right,Dominik Kohr,,81,"183cm | 6'0""",76,2,80,,Bundesliga,42,57,81,Germany,N\A,66,64,60,80,57,,66,,Normal,57,42,46,3,72,66,82,72,82,64,57,3,79
1953,66,2018-09-19,27 years old,68,65,Med,68,64,Bayer 04 Leverkusen,76,65,61,Med,77,,64,65,63,Right,Aleksandar Dragovic,,80,"184cm | 6'0""",77,2,76,,Bundesliga,49,41,80,Austria,N\A,66,60,69,76,51,,68,,Normal,51,49,63,2,76,65,80,76,80,60,41,4,76
1954,76,2018-09-19,25 years old,70,79,Med,78,78,Real Sociedad,81,69,57,Med,30,,78,69,83,Right,Juan Miguel Jimenez López,,23,"172cm | 5'8""",30,1,56,,LaLiga Santander,64,80,23,Spain,N\A,76,67,70,56,75,,78,,Normal,75,64,83,3,74,77,75,74,75,67,80,3,69
1955,65,2018-09-19,32 years old,70,76,Med,71,55,Real Sociedad,81,76,59,Med,66,,55,76,72,Right,David Zurutuza Veillet,,78,"186cm | 6'1""",66,1,71,,LaLiga Santander,69,74,78,France,N\A,65,74,65,71,71,,71,,Normal,71,69,72,4,65,66,44,65,44,74,74,5,79
1956,91,2018-09-19,29 years old,70,80,High,77,77,Sevilla FC,80,70,46,Med,70,,77,70,66,Right,Aleix Vidal Parreu,,73,"177cm | 5'10""",70,2,72,,LaLiga Santander,75,67,73,Spain,N\A,91,72,84,72,67,,77,,Normal,67,75,66,4,58,89,82,58,82,72,67,4,70
1957,79,2018-09-19,23 years old,77,76,High,77,72,Sevilla FC,72,66,33,Med,43,,72,66,82,Right,André Miguel Valente da Silva,,55,"185cm | 6'1""",43,2,75,,LaLiga Santander,59,78,55,Portugal,N\A,79,62,76,75,74,,77,,Normal,74,59,82,3,76,75,84,76,84,62,78,3,79
1958,38,2018-09-19,26 years old,65,62,High,51,50,Sevilla FC,74,56,46,Med,79,,50,56,52,Right,Sergi Gómez Solà,,80,"185cm | 6'1""",79,1,72,,LaLiga Santander,45,35,80,Spain,N\A,38,65,45,72,41,,51,,Normal,41,45,52,2,74,43,69,74,69,65,35,2,77
1959,66,2018-09-19,21 years old,65,60,Med,40,54,Sevilla FC,70,34,28,Med,76,,54,34,35,Right,Joris Gnagnon,,76,"182cm | 6'0""",76,1,79,,LaLiga Santander,35,28,76,France,N\A,66,46,48,79,33,,40,,Normal,33,35,35,2,76,66,84,76,84,46,28,2,89
1960,65,2018-09-19,27 years old,65,65,Med,65,61,Villarreal CF,69,47,58,Med,77,,61,47,49,Left,Ramiro Funes Mori,,78,"186cm | 6'1""",77,2,76,,LaLiga Santander,69,40,78,Argentina,N\A,65,60,69,76,49,,65,,Normal,49,69,49,2,79,61,77,79,77,60,40,3,79
1961,62,2018-09-19,30 years old,66,50,Low,54,40,West Ham United,77,44,38,High,77,,40,44,42,Right,Winston Reid,,78,"190cm | 6'3""",77,2,77,,Premier League,28,46,78,New Zealand,N\A,62,48,70,77,52,,54,,Normal,52,28,42,2,79,55,72,79,72,48,46,3,87
1962,67,2018-09-19,32 years old,77,69,Med,64,41,West Ham United,66,68,58,Med,75,,41,68,58,Left,Carlos Sánchez,,79,"182cm | 6'0""",75,2,84,,Premier League,60,48,79,Colombia,N\A,67,70,72,84,58,,64,,Normal,58,60,58,3,70,69,75,70,75,70,48,3,82
1963,47,2018-09-19,29 years old,50,68,Med,57,47,West Ham United,77,65,42,High,44,,47,65,78,Left,Andy Carroll,,45,"193cm | 6'4""",44,2,80,,Premier League,60,77,45,England,N\A,47,61,83,80,78,,57,,Normal,78,60,78,2,91,43,83,91,83,61,77,3,79
1964,65,2018-09-19,26 years old,76,73,Med,68,63,West Ham United,69,78,62,High,75,,63,78,62,Right,Pedro Mba Obiang Avomo,,76,"185cm | 6'1""",75,2,74,,Premier League,68,50,76,Spain,N\A,65,74,74,74,59,,68,,Normal,59,68,62,3,70,64,72,70,72,74,50,3,75
1965,59,2018-09-19,29 years old,54,71,Med,56,58,SL Benfica,74,66,74,High,77,,58,66,65,Right,Andreas Samaris,,80,"189cm | 6'2""",77,2,80,,Liga NOS,63,59,80,Greece,N\A,59,71,78,80,67,,56,,CL,67,63,65,2,77,60,75,77,75,71,59,3,84
1966,69,2018-09-19,25 years old,69,71,High,62,75,SL Benfica,74,58,59,High,38,,75,58,78,Right,Nicolás Castillo,,37,"179cm | 5'10""",38,2,81,,Liga NOS,49,80,37,Chile,N\A,69,59,79,81,78,,62,,Normal,78,49,78,3,77,70,82,77,82,59,80,3,81
1967,29,2018-09-19,37 years old,37,52,Low,33,31,SL Benfica,67,48,48,Med,80,,31,48,30,Right,Anderson Luís da Silva,,75,"195cm | 6'5""",80,3,73,,Liga NOS,50,45,75,Brazil,N\A,29,55,68,73,50,,33,,Normal,50,50,30,2,82,29,48,82,48,55,45,2,91
1968,59,2018-09-19,25 years old,73,79,Med,65,67,SL Benfica,76,78,74,Med,74,,67,78,71,Left,Gabriel Appelt Pires,,71,"187cm | 6'2""",74,1,77,,Liga NOS,64,69,71,Brazil,N\A,59,74,72,77,69,,65,,CL,69,64,71,3,76,68,82,76,82,74,69,5,82
1969,76,2018-09-19,35 years old,43,73,Med,44,47,AS Monaco Football Club SA,77,37,13,Med,42,76,47,37,7,Right,Diego Benaglio,80,22,"194cm | 6'4""",42,3,79,61,Ligue 1 Conforama,14,12,22,Switzerland,N\A,76,61,22,79,80,,44,73,Normal,80,14,7,1,15,42,71,15,71,61,12,3,89
1970,69,2018-09-19,27 years old,80,79,High,77,81,TSG 1899 Hoffenheim,74,77,60,High,67,,81,77,69,Right,Lukas Rupp,,64,"178cm | 5'10""",67,,66,,Bundesliga,74,64,64,Germany,N\A,69,76,76,66,68,,77,,CL,68,74,69,3,45,71,67,45,67,76,64,3,73
1971,47,2018-09-19,30 years old,65,71,Med,63,59,TSG 1899 Hoffenheim,77,66,42,Med,41,,59,66,79,Right,Ádám Szalai,,42,"193cm | 6'4""",41,2,79,,Bundesliga,49,81,42,Hungary,N\A,47,61,83,79,77,,63,,CL,77,49,79,3,86,45,64,86,64,61,81,3,90
1972,70,2018-09-19,25 years old,72,82,Med,78,79,TSG 1899 Hoffenheim,72,70,80,Med,41,,79,70,73,Right,Vincenzo Grifo,,45,"180cm | 5'11""",41,1,62,,Bundesliga,82,72,45,Italy,N\A,70,74,81,62,74,,78,,Normal,74,82,73,4,47,74,52,47,52,74,72,3,75
1973,56,2018-09-19,23 years old,69,77,Med,68,64,TSG 1899 Hoffenheim,78,79,68,Med,68,,64,79,71,Right,Florian Grillitsch,,73,"187cm | 6'2""",68,2,64,,Bundesliga,68,58,73,Austria,N\A,56,75,66,64,59,,68,,CL,59,68,71,3,61,55,48,61,48,75,58,3,77
1974,73,2018-09-19,26 years old,75,76,High,59,41,TSG 1899 Hoffenheim,70,73,68,Med,37,,41,73,76,Right,Ishak Belfodil,,29,"191cm | 6'3""",37,2,83,,Bundesliga,65,75,29,Algeria,N\A,73,70,78,83,74,,59,,CL,74,65,76,3,77,68,71,77,71,70,75,2,86
1975,54,2018-09-19,28 years old,73,67,Med,61,58,TSG 1899 Hoffenheim,77,70,66,Med,77,,58,70,58,Right,Håvard Nordtveit,,74,"188cm | 6'2""",77,2,77,,Bundesliga,66,40,74,Norway,N\A,54,72,73,77,54,,61,,CL,54,66,58,2,78,52,68,78,68,72,40,3,83
1976,80,2018-09-19,27 years old,80,78,High,74,67,TSG 1899 Hoffenheim,75,73,66,High,73,,67,73,75,Right,Steven Zuber,,77,"182cm | 6'0""",73,1,77,,Bundesliga,75,63,77,Switzerland,N\A,80,72,81,77,70,,74,,CL,70,75,75,3,73,78,65,73,65,72,63,4,79
1977,60,2018-09-19,29 years old,58,68,High,62,55,Southampton,78,61,43,Med,37,,55,61,83,Right,Charlie Austin,,47,"188cm | 6'2""",37,1,71,,Premier League,56,79,47,England,N\A,60,57,83,71,78,,62,,Normal,78,56,83,2,81,62,81,81,81,57,79,2,84
1978,79,2018-09-19,27 years old,86,75,High,74,83,Southampton,76,65,64,Med,73,,83,65,71,Right,Cédric Ricardo Alves Soares,,74,"172cm | 5'8""",73,2,71,,Premier League,70,57,74,Portugal,N\A,79,70,76,71,66,,74,,Normal,66,70,71,3,65,80,72,65,72,70,57,4,67
1979,78,2018-09-19,28 years old,35,81,Med,35,43,Southampton,69,50,18,Med,58,78,43,50,16,Right,Alex McCarthy,76,22,"193cm | 6'4""",58,1,77,64,Premier League,11,17,22,England,N\A,78,64,20,77,76,,35,81,Normal,76,11,16,1,16,58,68,16,68,64,17,2,79
1980,69,2018-09-19,26 years old,63,75,High,70,56,Southampton,74,72,77,Low,26,,56,72,79,Left,Manolo Gabbiadini,,18,"181cm | 5'11""",26,2,66,,Premier League,70,79,18,Italy,N\A,69,71,82,66,79,,70,,Normal,79,70,79,3,66,67,74,66,74,71,79,3,72
1981,61,2018-09-19,24 years old,78,76,Med,75,77,Southampton,74,82,83,Med,63,,77,82,65,Right,James Ward-Prowse,,65,"173cm | 5'8""",63,2,65,,Premier League,89,61,65,England,N\A,61,84,74,65,66,,75,,Normal,66,89,65,3,57,66,66,57,66,84,61,3,66
1982,36,2018-09-19,30 years old,61,60,Low,44,31,Inter,66,56,34,Med,79,,31,56,24,Right,Andrea Ranocchia,,81,"195cm | 6'5""",79,2,74,,Serie A TIM,45,22,81,Italy,N\A,36,58,60,74,33,,44,,CL,33,45,24,2,75,31,75,75,75,58,22,3,81
1983,92,2018-09-19,25 years old,81,77,High,84,67,Inter,68,66,47,Med,72,,67,66,73,Left,Dalbert Chagas Estevão,,68,"181cm | 5'11""",72,1,72,,Serie A TIM,77,52,68,Brazil,N\A,92,71,73,72,59,,84,,CL,59,77,73,3,60,92,59,60,59,71,52,3,70
1984,73,2018-09-19,30 years old,77,72,Med,75,70,Inter,77,54,62,Med,78,,70,54,66,Right,Danilo D'Ambrosio,,75,"180cm | 5'11""",78,2,75,,Serie A TIM,72,48,75,Italy,N\A,73,66,67,75,56,,75,,CL,56,72,66,3,71,73,79,71,79,66,48,3,75
1985,74,2018-09-19,34 years old,73,76,High,77,82,Beşiktaş JK,70,72,38,Low,38,,82,72,83,Right,Vágner Silva de Souza,,40,"171cm | 5'7""",38,3,75,,Süper Lig,51,77,40,Brazil,N\A,74,61,80,75,77,,77,,Normal,77,51,83,4,78,76,77,78,77,61,77,5,72
1986,69,2018-09-19,35 years old,50,78,Med,66,73,RCD Espanyol,78,77,64,Med,37,,73,77,81,Right,Sergio García de la Fuente,,29,"174cm | 5'9""",37,2,62,,LaLiga Santander,77,76,29,Spain,N\A,69,75,77,62,76,,66,,Normal,76,77,81,4,70,70,34,70,34,75,76,2,72
1987,75,2018-09-19,30 years old,85,76,High,85,79,RCD Espanyol,78,63,54,Med,74,,79,63,69,Right,Roberto Rosales,,76,"175cm | 5'9""",74,2,72,,LaLiga Santander,76,51,76,Venezuela,Transfers,75,70,73,72,59,,85,,Normal,59,76,69,4,60,75,73,60,73,70,51,3,70
1988,60,2018-09-19,31 years old,70,74,Med,72,77,RCD Espanyol,79,79,69,Med,75,,77,79,65,Right,Victor Sánchez Mata,,80,"174cm | 5'9""",75,1,68,,LaLiga Santander,76,57,80,Spain,N\A,60,80,73,68,63,,72,,Normal,63,76,65,3,70,58,78,70,78,80,57,3,72
1989,77,2018-09-19,29 years old,67,78,High,75,69,RCD Espanyol,78,72,62,Med,39,,69,72,79,Right,Hernán Pérez,,43,"180cm | 5'11""",39,1,72,,LaLiga Santander,79,70,43,Paraguay,N\A,77,73,88,72,74,,75,,Normal,74,79,79,4,54,78,77,54,77,73,70,4,71
1990,78,2018-09-19,32 years old,32,80,Med,68,40,RCD Espanyol,76,45,14,Med,45,78,40,45,17,Right,Roberto Jiménez Gago,71,24,"192cm | 6'4""",45,2,76,75,LaLiga Santander,15,14,24,Spain,N\A,78,75,36,76,71,,68,80,Normal,71,15,17,1,19,45,74,19,74,75,14,2,93
1991,82,2018-09-19,23 years old,42,77,Med,69,40,Athletic Club,69,28,17,Med,40,82,40,28,11,Right,Alejandro Remiro Gargallo,72,20,"191cm | 6'3""",40,1,74,78,LaLiga Santander,12,13,20,Spain,N\A,82,78,22,74,72,,69,77,Normal,72,12,11,1,13,40,61,13,61,78,13,3,83
1992,77,2018-09-19,28 years old,82,70,High,73,71,Athletic Club,72,48,55,Med,75,,71,48,49,Left,Yuri Berchiche Izeta,,69,"180cm | 5'11""",75,2,80,,LaLiga Santander,79,43,69,Spain,N\A,77,67,78,80,58,,73,,Normal,58,79,49,3,72,78,85,72,85,67,43,3,80
1993,67,2018-09-19,23 years old,71,63,Med,56,76,Athletic Club,79,34,50,High,75,,76,34,39,Right,Yeray Alvarez Lopez,,81,"183cm | 6'0""",75,2,76,,LaLiga Santander,48,41,81,Spain,N\A,67,57,69,76,49,,56,,Normal,49,48,39,2,75,66,75,75,75,57,41,3,78
1994,36,2018-09-19,29 years old,76,66,Med,41,52,Athletic Club,80,76,44,Med,78,,52,76,71,Right,Mikel San José Domínguez,,80,"187cm | 6'2""",78,2,78,,LaLiga Santander,47,60,80,Spain,N\A,36,67,71,78,66,,41,,Normal,66,47,71,3,81,33,77,81,77,67,60,3,79
1995,71,2018-09-19,22 years old,78,69,Med,66,54,Borussia Mönchengladbach,74,59,29,Med,78,,54,59,53,Right,Nico Elvedi,,79,"189cm | 6'2""",78,2,75,,Bundesliga,65,30,79,Switzerland,N\A,71,62,42,75,34,,66,,Normal,34,65,53,3,79,68,73,79,73,62,30,3,78
1996,81,2018-09-19,27 years old,64,78,Med,83,75,Borussia Mönchengladbach,77,77,60,Med,33,,75,77,79,Right,Patrick Herrmann,,29,"179cm | 5'10""",33,2,59,,Bundesliga,77,65,29,Germany,N\A,81,73,74,59,69,,83,,Normal,69,77,79,4,54,79,69,54,69,73,65,3,70
1997,78,2018-09-19,22 years old,79,74,Med,67,63,Borussia Mönchengladbach,73,76,46,Med,78,,63,76,63,Right,Denis Zakaria,,77,"191cm | 6'3""",78,1,82,,Bundesliga,64,56,77,Switzerland,N\A,78,74,69,82,56,,67,,Normal,56,64,63,3,65,68,65,65,65,74,56,3,80
1998,73,2018-09-19,27 years old,85,67,High,66,57,Borussia Mönchengladbach,67,55,55,Med,77,,57,55,67,Right,Michael Lang,,75,"185cm | 6'1""",77,1,79,,Bundesliga,78,71,75,Switzerland,N\A,73,68,72,79,69,,66,,Normal,69,78,67,3,80,70,80,80,80,68,71,4,79
1999,82,2018-09-19,30 years old,76,76,Med,73,72,Borussia Mönchengladbach,74,72,57,Med,67,,72,72,74,Right,Fabian Johnson,,65,"183cm | 6'0""",67,2,67,,Bundesliga,76,70,65,United States,N\A,82,73,69,67,67,,73,,Normal,67,76,74,3,60,78,69,60,69,73,70,4,74
2000,85,2018-09-19,26 years old,72,81,Med,85,75,VfL Wolfsburg,75,66,69,Low,29,,75,66,71,Right,Paul-Georges Ntep,,28,"180cm | 5'11""",29,2,72,,Bundesliga,72,69,28,France,N\A,85,71,77,72,71,,85,,Normal,71,72,71,3,43,86,49,43,49,71,69,4,75
2001,62,2018-09-19,26 years old,84,68,High,64,44,VfL Wolfsburg,76,62,37,High,36,,44,62,79,Right,Wout Weghorst,,34,"197cm | 6'6""",36,1,83,,Bundesliga,42,79,34,Holland,N\A,62,56,80,83,75,,64,,Normal,75,42,79,3,84,53,79,84,79,56,79,3,84
2002,68,2018-09-19,24 years old,79,77,High,74,68,Fiorentina,72,74,64,Med,72,,68,74,76,Right,Marco Benassi,,72,"184cm | 6'0""",72,2,75,,Serie A TIM,70,66,72,Italy,N\A,68,75,80,75,71,,74,,Normal,71,70,76,4,68,67,68,68,68,75,66,3,80
2003,83,2018-09-19,21 years old,77,81,Med,86,78,Fiorentina,76,69,48,High,44,,78,69,76,Right,Federico Chiesa,,30,"175cm | 5'9""",44,2,66,,Serie A TIM,70,70,30,Italy,N\A,83,69,80,66,73,,86,,Normal,73,70,76,4,50,86,55,50,55,69,70,4,70
2004,78,2018-09-19,19 years old,40,79,Med,55,53,Fiorentina,64,45,12,Med,48,78,53,45,4,Right,Alban Lafont,77,17,"193cm | 6'4""",48,2,76,71,Serie A TIM,13,6,17,France,N\A,78,71,23,76,77,,55,79,Normal,77,13,4,1,13,48,73,13,73,71,6,3,82
2005,77,2018-09-19,29 years old,76,80,Med,76,66,Stoke City,74,70,44,Med,38,,66,70,77,Right,Eric Maxim Choupo-Moting,,40,"191cm | 6'3""",38,2,71,,EFL Championship,65,75,40,Cameroon,N\A,77,69,77,71,73,,76,,Normal,73,65,77,4,74,76,67,74,67,69,75,4,91
2006,45,2018-09-19,31 years old,76,51,Med,46,49,Stoke City,73,40,24,High,77,,49,40,26,Right,Ryan Shawcross,,76,"191cm | 6'3""",77,2,84,,EFL Championship,30,39,76,England,N\A,45,49,44,84,37,,46,,Normal,37,30,26,2,79,42,70,79,70,49,39,3,76
