NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,LOADDATE
William Vainqueur,Toulouse FC,France Ligue 1,CDM,Gold,75,67,62,74,77,57,64,2019-11-25 22:25:42
Jakub Błaszczykowski,Wisła Kraków,Poland Ekstraklasa,RM,Gold,75,73,52,71,77,66,72,2019-11-25 22:25:42
Granell,Girona FC,Spain Segunda A,CM,Gold,75,92,64,65,76,32,63,2019-11-25 22:25:42
Jonathan Hogg,Huddersfield Town,England EFL Championship,CDM,Gold,75,78,74,60,73,29,60,2019-11-25 22:25:42
Seko Fofana,Udinese,Italy Serie A,CM,Gold,75,67,39,45,60,73,75,2019-11-25 22:25:42
Ezequiel Ávila,CA Osasuna,Spain Primera Division,ST,Gold,75,76,69,71,78,39,56,2019-11-25 22:25:42
Felix Uduokhai,VfL Wolfsburg,Germany 1. Bundesliga,CB,Gold,75,89,62,69,77,23,41,2019-11-25 22:25:42
Ádám Nagy,Bristol City,England EFL Championship,CDM,Gold,75,63,43,54,52,72,78,2019-11-25 22:25:42
Borja Bastón,Swansea City,England EFL Championship,ST,Gold,75,85,73,61,70,36,76,2019-11-25 22:25:42
Ismaël Traoré,Angers SCO,France Ligue 1,CB,Gold,75,92,63,67,77,57,69,2019-11-25 22:25:42
Samuel Kalu,Girondins de Bordeaux,France Ligue 1,RM,Gold,75,67,47,61,61,72,78,2019-11-25 22:25:42
Claudio Pizarro,Werder Bremen,Germany 1. Bundesliga,ST,Gold,75,81,65,70,78,39,47,2019-11-25 22:25:42
Charlie Austin,West Bromwich Albion,England EFL Championship,ST,Gold,75,74,75,73,76,35,50,2019-11-25 22:25:42
Nampalys Mendy,Leicester City,England Premier League,CDM,Gold,75,88,74,64,79,35,65,2019-11-25 22:25:42
Ferrán Torres,Valencia CF,Spain Primera Division,RM,Gold,75,71,68,72,77,33,44,2019-11-25 22:25:42
Daniel Bessa,Hellas Verona,Italy Serie A,CAM,Gold,75,89,71,60,76,38,69,2019-11-25 22:25:42
Solly March,Brighton & Hove Albion,England Premier League,LM,Gold,75,67,67,71,73,70,70,2019-11-25 22:25:42
Giannelli Imbula,Lecce,Italy Serie A,CM,Gold,75,77,25,36,46,73,85,2019-11-25 22:25:42
Leighton Baines,Everton,England Premier League,LB,Gold,75,78,65,72,72,68,72,2019-11-25 22:25:42
Scott Wharton,Northampton Town,England EFL League Two,CB,Silver,74,76,66,69,74,45,62,2019-11-25 22:25:42
Scott Wharton,Northampton Town,England EFL League Two,CB,Silver,74,67,63,72,72,67,70,2019-11-25 22:25:42
Iago,FC Augsburg,Germany 1. Bundesliga,LB,Silver,74,79,61,66,81,51,61,2019-11-25 22:25:42
Tomáš Holeš,Slavia Praha,Czech Republic HET Liga,RB,Silver,74,54,46,49,57,72,82,2019-11-25 22:25:42
Dia Saba,Guangzhou R&F,China Super League,CAM,Silver,74,83,67,67,80,42,62,2019-11-25 22:25:42
Joel Kayamba,Viktoria Plzeň,Czech Republic HET Liga,RM,Silver,74,65,36,55,54,72,78,2019-11-25 22:25:42
Petr Ševčík,Slavia Praha,Czech Republic HET Liga,CM,Silver,74,75,71,72,73,59,72,2019-11-25 22:25:42
Alex Král,Spartak Moskva,Russia FUT League,CDM,Silver,74,75,59,71,81,43,53,2019-11-25 22:25:42
Adrià Pedrosa,RCD Espanyol,Spain Primera Division,LB,Silver,74,76,32,41,43,71,84,2019-11-25 22:25:42
Ibrahim Traoré,Slavia Praha,Czech Republic HET Liga,CM,Silver,74,65,74,53,67,34,71,2019-11-25 22:25:42
Bruno Lamas,Santa Clara,Portugal Liga NOS,CAM,Silver,74,82,58,64,72,73,75,2019-11-25 22:25:42
Mamadou Loum,FC Porto,Portugal Liga NOS,CDM,Silver,74,87,72,70,77,28,61,2019-11-25 22:25:42
Elvis Sarić,Al Ahli,Saudi Dawry Jameel League,CM,Silver,74,80,76,57,72,37,65,2019-11-25 22:25:42
Volodymyr Shepelev,Dynamo Kyiv,Ukraine Premier Liga,CDM,Silver,74,81,66,71,75,36,68,2019-11-25 22:25:42
Enric Gallego,Getafe CF,Spain Primera Division,ST,Silver,74,73,66,74,77,61,62,2019-11-25 22:25:42
Makhete Diop,Beijing Renhe,China Super League,ST,Silver,74,86,75,61,73,39,76,2019-11-25 22:25:42
Jonathan David,AA Gent,Belgium Jupiler Pro League,CF,Silver,74,86,70,65,76,48,65,2019-11-25 22:25:42
Michal Trávník,Sparta Praha,Czech Republic HET Liga,CM,Silver,74,78,67,69,73,66,71,2019-11-25 22:25:42
Douglas,Shimizu S-Pulse,Japan J1 League,ST,Silver,74,66,43,55,60,72,81,2019-11-25 22:25:42
Moussa Diaby,Bayer 04 Leverkusen,Germany 1. Bundesliga,LM,Silver,74,93,66,69,76,67,77,2019-11-25 22:25:42
Giorgi Chakvetadze,AA Gent,Belgium Jupiler Pro League,LM,Silver,74,79,51,67,72,72,72,2019-11-25 22:25:42
Zinho Vanheusden,Standard Liège,Belgium Jupiler Pro League,CB,Silver,74,72,72,52,68,22,70,2019-11-25 22:25:42
Jean-Pierre Nsame,BSC Young Boys,Switzerland Super League,ST,Silver,74,81,65,72,75,42,57,2019-11-25 22:25:42
João Victor,VfL Wolfsburg,Germany 1. Bundesliga,LW,Silver,74,86,69,72,77,60,68,2019-11-25 22:25:42
David Hovorka,Slavia Praha,Czech Republic HET Liga,CB,Silver,74,67,73,75,77,38,59,2019-11-25 22:25:42
Carlitos,Legia Warszawa,Poland Ekstraklasa,ST,Silver,74,76,73,70,80,46,65,2019-11-25 22:25:42
Alexandru Bălută,Slavia Praha,Czech Republic HET Liga,RW,Silver,74,88,67,72,72,35,64,2019-11-25 22:25:42
Rafael Pérez,Junior de Barranquilla,Colombia Liga Aguila,CB,Silver,74,67,52,62,67,72,82,2019-11-25 22:25:42
Pedro Sá,Portimonense,Portugal Liga NOS,CDM,Silver,74,76,71,65,74,38,70,2019-11-25 22:25:42
Rodrigo Becão,Udinese,Italy Serie A,CB,Silver,74,71,65,69,73,74,70,2019-11-25 22:25:42
Marin Pongračić,Red Bull Salzburg,Austria Bundesliga,CB,Silver,74,81,60,69,72,69,73,2019-11-25 22:25:42
Bruno Xadas,Braga,Portugal Liga NOS,CAM,Silver,74,81,57,73,73,27,64,2019-11-25 22:25:42
Moussa Djenepo,Southampton,England Premier League,LM,Silver,74,71,52,67,73,75,56,2019-11-25 22:25:42
Gustavo Blanco Leschuk,Shakhtar Donetsk,Ukraine Premier Liga,ST,Silver,74,78,72,60,70,29,75,2019-11-25 22:25:42
Roberto Alvarado,Cruz Azul,Mexico Liga MX,LM,Silver,74,82,70,68,73,44,61,2019-11-25 22:25:42
Hannes Wolf,RB Leipzig,Germany 1. Bundesliga,CAM,Silver,74,74,58,72,78,61,66,2019-11-25 22:25:42
Dominik Szoboszlai,Red Bull Salzburg,Austria Bundesliga,CAM,Silver,74,70,56,67,74,72,79,2019-11-25 22:25:42
Jaromír Zmrhal,Brescia,Italy Serie A,LM,Silver,74,79,70,71,77,35,50,2019-11-25 22:25:42
Sam Lammers,PSV,Holland Eredivisie,ST,Silver,74,69,54,61,64,71,81,2019-11-25 22:25:42
Ezequiel Barco,Atlanta United FC,USA Major League Soccer,LM,Silver,74,78,71,59,74,24,69,2019-11-25 22:25:42
Aleix Febas,RCD Mallorca,Spain Primera Division,CM,Silver,74,88,44,59,69,71,79,2019-11-25 22:25:42
Djamel Eddine Benlamri,Al Shabab,Saudi Dawry Jameel League,CB,Silver,74,67,71,57,68,34,72,2019-11-25 22:25:42
Lucas Robertone,Vélez Sarsfield,Argentina Primera División ,CAM,Silver,74,81,72,62,74,35,73,2019-11-25 22:25:42
Salvi Sánchez,Cádiz CF,Spain Segunda A,RM,Silver,74,81,71,65,77,44,67,2019-11-25 22:25:42
Emanuel Reynoso,Buenos Aires,Argentina Primera División ,CM,Silver,74,79,71,70,70,43,77,2019-11-25 22:25:42
Orel Mangala,VfB Stuttgart,Germany 2. Bundesliga,CM,Silver,74,65,39,64,73,67,76,2019-11-25 22:25:42
Sebastián Villa,Buenos Aires,Argentina Primera División ,RM,Silver,74,76,73,64,76,37,70,2019-11-25 22:25:42
Odsonne Edouard,Celtic,Scotland Premiership,ST,Silver,74,51,73,64,67,46,79,2019-11-25 22:25:42
Alexander Isak,Real Sociedad,Spain Primera Division,ST,Silver,74,82,71,67,79,41,48,2019-11-25 22:25:42
Chidozie Awaziem,CD Leganés,Spain Primera Division,CB,Silver,74,74,73,68,71,69,83,2019-11-25 22:25:42
Ritsu Doan,PSV,Holland Eredivisie,CAM,Silver,74,76,75,68,75,32,69,2019-11-25 22:25:42
Nicolás Silva,Argentinos Juniors,Argentina Primera División ,LM,Silver,74,48,52,61,63,74,83,2019-11-25 22:25:42
Maurício,Urawa Red Diamonds,Japan J1 League,CB,Silver,74,51,72,69,70,66,83,2019-11-25 22:25:42
Victor Osimhen,LOSC Lille,France Ligue 1,ST,Silver,74,67,72,73,73,37,76,2019-11-25 22:25:42
Agustín Bouzat,Vélez Sarsfield,Argentina Primera División ,RW,Silver,74,73,67,74,76,45,62,2019-11-25 22:25:42
Joaquín,Real Valladolid,Spain Primera Division,CB,Silver,74,33,47,54,40,74,81,2019-11-25 22:25:42
Abdülkadir Ömür,Trabzonspor,Turkey Süper Lig,RM,Silver,74,78,71,73,75,37,65,2019-11-25 22:25:42
Ontiveros,Málaga CF,Spain Segunda A,LM,Silver,74,81,65,72,76,54,72,2019-11-25 22:25:42
Waldo,Real Valladolid,Spain Primera Division,LM,Silver,74,70,64,72,75,65,70,2019-11-25 22:25:42
João Carvalho,Nottingham Forest,England EFL Championship,CAM,Silver,74,69,33,49,49,75,77,2019-11-25 22:25:42
Christian Bassogog,Henan Jianye,China Super League,ST,Silver,74,85,70,66,77,43,63,2019-11-25 22:25:42
Gojko Cimirot,Standard Liège,Belgium Jupiler Pro League,CDM,Silver,74,65,51,71,70,70,82,2019-11-25 22:25:42
Joseph Aidoo,RC Celta de Vigo,Spain Primera Division,CB,Silver,74,60,49,50,57,72,79,2019-11-25 22:25:42
Djibril Sow,Eintracht Frankfurt,Germany 1. Bundesliga,CM,Silver,74,74,72,75,73,66,71,2019-11-25 22:25:42
Nicolás Benedetti,América,Mexico Liga MX,CAM,Silver,74,77,67,73,76,34,50,2019-11-25 22:25:42
Bryan Heynen,RC Genk,Belgium Jupiler Pro League,CM,Silver,74,89,67,68,73,67,75,2019-11-25 22:25:42
Lucas Rodríguez,D.C. United,USA Major League Soccer,LM,Silver,74,68,74,68,73,38,66,2019-11-25 22:25:42
Tomás Cardona,Godoy Cruz,Argentina Primera División ,CB,Silver,74,68,65,70,71,68,82,2019-11-25 22:25:42
Gil Dias,AS Monaco,France Ligue 1,RM,Silver,74,51,56,62,59,72,80,2019-11-25 22:25:42
Bruno Valdez,América,Mexico Liga MX,CB,Silver,74,76,69,72,77,65,64,2019-11-25 22:25:42
Viktor Kovalenko,Shakhtar Donetsk,Ukraine Premier Liga,CAM,Silver,74,68,59,77,71,64,74,2019-11-25 22:25:42
Francisco Geraldes,AEK Athens,Greece A'Ethniki,CAM,Silver,74,79,74,61,74,42,67,2019-11-25 22:25:42
Pape Abou Cissé,Olympiacos CFP,Greece A'Ethniki,CB,Silver,74,68,40,51,61,74,75,2019-11-25 22:25:42
Carlos González,U.N.A.M.,Mexico Liga MX,ST,Silver,74,81,75,71,73,38,80,2019-11-25 22:25:42
Jeremiah St. Juste,1. FSV Mainz 05,Germany 1. Bundesliga,CB,Silver,74,71,55,69,65,73,76,2019-11-25 22:25:42
Lucas Gamba,Rosario Central,Argentina Primera División ,ST,Silver,74,64,57,68,66,73,74,2019-11-25 22:25:42
Harold Preciado,Shenzhen FC,China Super League,ST,Silver,74,81,74,55,72,27,65,2019-11-25 22:25:42
Ianis Hagi,RC Genk,Belgium Jupiler Pro League,CAM,Silver,74,74,42,64,78,70,75,2019-11-25 22:25:42
Emiliano Buendía,Norwich City,England Premier League,RM,Silver,74,62,34,56,52,75,73,2019-11-25 22:25:42
Che Adams,Southampton,England Premier League,ST,Silver,74,63,37,50,55,73,78,2019-11-25 22:25:42
Ángel González,Estudiantes de La Plata,Argentina Primera División ,RW,Silver,74,59,48,59,62,74,74,2019-11-25 22:25:42
Jesús Gallardo,Monterrey,Mexico Liga MX,LM,Silver,74,72,68,73,74,64,74,2019-11-25 22:25:42
Kasim Adams Nuhu,Fortuna Düsseldorf,Germany 1. Bundesliga,CB,Silver,74,76,70,71,76,52,74,2019-11-25 22:25:42
Camilo Mayada,Atlético de San Luis,Mexico Liga MX,RB,Silver,74,79,69,70,77,38,54,2019-11-25 22:25:42
Caju,Braga,Portugal Liga NOS,LB,Silver,74,72,58,71,69,71,74,2019-11-25 22:25:42
Habib Diallo,FC Metz,France Ligue 1,ST,Silver,74,54,67,74,71,68,73,2019-11-25 22:25:42
Jarlan Barrera,Atlético Nacional,Colombia Liga Aguila,CAM,Silver,74,33,47,57,48,76,74,2019-11-25 22:25:42
Orbelín Pineda,Cruz Azul,Mexico Liga MX,CM,Silver,74,70,62,72,76,61,59,2019-11-25 22:25:42
Pedro Nuno,Moreirense,Portugal Liga NOS,LW,Silver,74,64,44,59,66,73,81,2019-11-25 22:25:42
Fábio Martins,Famalicão,Portugal Liga NOS,LM,Silver,74,62,58,64,61,72,77,2019-11-25 22:25:42
Thomas Goiginger,LASK,Austria Bundesliga,RW,Silver,74,59,62,68,71,71,74,2019-11-25 22:25:42
Kristoffer Ajer,Celtic,Scotland Premiership,CB,Silver,74,54,46,52,49,75,76,2019-11-25 22:25:42
Henry Martín,América,Mexico Liga MX,ST,Silver,74,61,52,52,57,73,75,2019-11-25 22:25:42
Emanuel Cecchini,Seattle Sounders,USA Major League Soccer,CDM,Silver,74,65,73,53,65,27,84,2019-11-25 22:25:42
Şener Özbayraklı,Galatasaray,Turkey Süper Lig,RB,Silver,74,75,52,63,66,73,77,2019-11-25 22:25:42
Andrés Chávez,Huracán,Argentina Primera División ,ST,Silver,74,84,68,69,77,31,55,2019-11-25 22:25:42
Zinedine Ferhat,Nîmes Olympique,France Ligue 1,RM,Silver,74,68,29,55,66,73,73,2019-11-25 22:25:42
Andrés Cubas,Talleres de Córdoba,Argentina Primera División ,CM,Silver,74,94,63,65,74,43,70,2019-11-25 22:25:42
Albian Ajeti,West Ham United,England Premier League,ST,Silver,74,78,47,65,69,72,68,2019-11-25 22:25:42
Ollie Watkins,Brentford,England EFL Championship,RW,Silver,74,75,62,75,70,69,50,2019-11-25 22:25:42
Ryan Thomas,PSV,Holland Eredivisie,CM,Silver,74,71,61,71,74,74,64,2019-11-25 22:25:42
Renato Tapia,Feyenoord,Holland Eredivisie,CDM,Silver,74,68,69,73,71,68,74,2019-11-25 22:25:42
Saïd Benrahma,Brentford,England EFL Championship,LW,Silver,74,84,66,68,77,30,55,2019-11-25 22:25:42
Junior Alonso,Buenos Aires,Argentina Primera División ,CB,Silver,74,69,72,73,74,65,67,2019-11-25 22:25:42
Angel Romero,San Lorenzo de Almagro,Argentina Primera División ,ST,Silver,74,80,69,70,76,40,60,2019-11-25 22:25:42
Kemar Lawrence,New York Red Bulls,USA Major League Soccer,LB,Silver,74,80,73,66,73,50,70,2019-11-25 22:25:42
Oliver McBurnie,Sheffield United,England Premier League,ST,Silver,74,75,72,64,70,39,74,2019-11-25 22:25:42
Roger Martínez,América,Mexico Liga MX,ST,Silver,74,65,49,50,59,73,76,2019-11-25 22:25:42
Kahraba,Desportivo Aves,Portugal Liga NOS,LM,Silver,74,87,68,68,80,34,44,2019-11-25 22:25:42
Edgar Méndez,Cruz Azul,Mexico Liga MX,RM,Silver,74,84,69,66,76,55,69,2019-11-25 22:25:42
Víctor Cantillo,Junior de Barranquilla,Colombia Liga Aguila,CDM,Silver,74,65,63,76,74,64,71,2019-11-25 22:25:42
Sargis Adamyan,TSG 1899 Hoffenheim,Germany 1. Bundesliga,CAM,Silver,74,67,67,72,73,51,58,2019-11-25 22:25:42
Islam Slimani,AS Monaco,France Ligue 1,ST,Silver,74,55,32,57,57,73,78,2019-11-25 22:25:42
Carlos Mané,Rio Ave,Portugal Liga NOS,RW,Silver,74,84,64,70,79,24,43,2019-11-25 22:25:42
Alan Browne,Preston North End,England EFL Championship,CAM,Silver,74,69,67,75,77,67,70,2019-11-25 22:25:42
Anwar El Ghazi,Aston Villa,England Premier League,LW,Silver,74,71,46,59,61,74,76,2019-11-25 22:25:42
Idris,Boavista,Portugal Liga NOS,CDM,Silver,74,83,50,71,73,67,78,2019-11-25 22:25:42
Damir Kreilach,Real Salt Lake,USA Major League Soccer,CM,Silver,74,53,43,48,45,77,72,2019-11-25 22:25:42
Bruno Petković,Dinamo Zagreb,Croatia PRva HNL,ST,Silver,74,93,71,63,77,29,70,2019-11-25 22:25:42
Lucas Zelarayán,Tigres U.A.N.L.,Mexico Liga MX,CAM,Silver,74,79,74,64,71,24,70,2019-11-25 22:25:42
Cristian Lema,Newell's Old Boys,Argentina Primera División ,CB,Silver,74,68,59,73,78,69,75,2019-11-25 22:25:42
Rubén Botta,San Lorenzo de Almagro,Argentina Primera División ,RM,Silver,74,40,65,79,64,72,73,2019-11-25 22:25:42
Ciro Rius,Rosario Central,Argentina Primera División ,RW,Silver,74,70,73,77,76,71,72,2019-11-25 22:25:42
Fernando Zuqui,Colón,Argentina Primera División ,CM,Silver,74,71,73,76,75,43,63,2019-11-25 22:25:42
Lautaro Giannetti,Vélez Sarsfield,Argentina Primera División ,CB,Silver,74,80,47,53,56,71,79,2019-11-25 22:25:42
Édson Puch,Universidad Católica,Chile Campeonato Nacional Scotiabank,LW,Silver,74,63,74,65,69,44,75,2019-11-25 22:25:42
Enzo Kalinski,Estudiantes de La Plata,Argentina Primera División ,CDM,Silver,74,77,42,68,69,71,79,2019-11-25 22:25:42
Diego Braghieri,Club Tijuana,Mexico Liga MX,CB,Silver,74,75,71,73,78,53,59,2019-11-25 22:25:42
Brahian Alemán,Gimnasia y Esgrima La Plata,Argentina Primera División ,CAM,Silver,74,75,69,73,77,34,56,2019-11-25 22:25:42
Lucas Villafañez,Monarcas Morelia,Mexico Liga MX,RM,Silver,74,66,57,61,62,71,85,2019-11-25 22:25:42
Óscar Opazo,CD Viñazur,Chile Campeonato Nacional Scotiabank,RB,Silver,74,74,70,70,75,63,71,2019-11-25 22:25:42
Silvio Romero,Independiente,Argentina Primera División ,ST,Silver,74,58,50,58,57,73,78,2019-11-25 22:25:42
Diego González,Racing Club de Avellaneda,Argentina Primera División ,CM,Silver,74,70,37,53,64,73,78,2019-11-25 22:25:42
Paolo Goltz,Buenos Aires,Argentina Primera División ,CB,Silver,74,55,47,67,71,69,76,2019-11-25 22:25:42
Juan Ramírez,San Lorenzo de Almagro,Argentina Primera División ,LW,Silver,74,37,38,54,39,75,75,2019-11-25 22:25:42
Andrés Ricaurte,Independiente Medellín,Colombia Liga Aguila,CAM,Silver,74,71,74,53,71,35,79,2019-11-25 22:25:42
Wilson Morelo,Colón,Argentina Primera División ,ST,Silver,74,67,62,66,62,73,77,2019-11-25 22:25:42
Igor Lichnovsky,Cruz Azul,Mexico Liga MX,CB,Silver,74,74,48,62,59,76,73,2019-11-25 22:25:42
Felipe Pardo,Toluca,Mexico Liga MX,RW,Silver,74,87,57,65,73,69,66,2019-11-25 22:25:42
Daniel Bocanegra,Atlético Nacional,Colombia Liga Aguila,CB,Silver,74,59,76,56,68,35,78,2019-11-25 22:25:42
Diego Rodríguez,Defensa y Justicia,Argentina Primera División ,CDM,Silver,74,65,75,75,72,58,74,2019-11-25 22:25:42
Felipe Mora,U.N.A.M.,Mexico Liga MX,ST,Silver,74,67,63,64,66,73,79,2019-11-25 22:25:42
Fouad Bachirou,Malmö FF,Sweden Allsvenskan,CDM,Silver,74,64,63,77,66,70,72,2019-11-25 22:25:42
Lucas Cavallini,Puebla,Mexico Liga MX,ST,Silver,74,85,44,69,74,69,68,2019-11-25 22:25:42
Sven van Beek,Feyenoord,Holland Eredivisie,CB,Silver,74,66,41,52,65,74,78,2019-11-25 22:25:42
Jack O'Connell,Sheffield United,England Premier League,CB,Silver,74,75,70,73,76,39,44,2019-11-25 22:25:42
Rafael Czichos,1. FC Köln,Germany 1. Bundesliga,CB,Silver,74,65,69,75,69,65,74,2019-11-25 22:25:42
Alejandro Chumacero,Puebla,Mexico Liga MX,CM,Silver,74,77,69,72,72,51,68,2019-11-25 22:25:42
Bradley Dack,Blackburn Rovers,England EFL Championship,CAM,Silver,74,63,74,55,63,38,84,2019-11-25 22:25:42
Rubén García,CA Osasuna,Spain Primera Division,CAM,Silver,74,70,45,63,69,72,73,2019-11-25 22:25:42
Birger Verstraete,1. FC Köln,Germany 1. Bundesliga,CDM,Silver,74,46,76,61,69,27,81,2019-11-25 22:25:42
João Schmidt,Nagoya Grampus,Japan J1 League,CM,Silver,74,66,64,67,70,71,76,2019-11-25 22:25:42
Ilya Kutepov,Spartak Moskva,Russia FUT League,CB,Silver,74,77,72,69,79,37,65,2019-11-25 22:25:42
Joris van Overeem,FC Utrecht,Holland Eredivisie,CM,Silver,74,54,44,59,60,72,76,2019-11-25 22:25:42
Mikel Agu,Vitória Guimarães,Portugal Liga NOS,CDM,Silver,74,84,59,71,74,68,67,2019-11-25 22:25:42
Timo Letschert,Hamburger SV,Germany 2. Bundesliga,CB,Silver,74,79,54,69,70,71,71,2019-11-25 22:25:42
Lucas Silva,Real Madrid,Spain Primera Division,CDM,Silver,74,70,65,73,74,75,65,2019-11-25 22:25:42
Dorian Dessoleil,Charleroi,Belgium Jupiler Pro League,CB,Silver,74,65,65,71,72,66,73,2019-11-25 22:25:42
Dória,Santos Laguna,Mexico Liga MX,CB,Silver,74,65,47,66,72,72,79,2019-11-25 22:25:42
Harlem-Eddy Gnohere,FCSB (Steaua),Romania Liga I,ST,Silver,74,80,68,74,77,43,71,2019-11-25 22:25:42
Dimitrios Kourmpelis,Panathinaikos FC,Greece A'Ethniki,CDM,Silver,74,53,74,71,69,73,74,2019-11-25 22:25:42
Pedro Henrique,Kayserispor,Turkey Süper Lig,RM,Silver,74,45,36,58,51,73,77,2019-11-25 22:25:42
Adam Webster,Brighton & Hove Albion,England Premier League,CB,Silver,74,84,38,52,56,71,82,2019-11-25 22:25:42
Jürgen Damm,Tigres U.A.N.L.,Mexico Liga MX,RM,Silver,74,83,71,71,74,38,68,2019-11-25 22:25:42
Bogdan Butko,Shakhtar Donetsk,Ukraine Premier Liga,RB,Silver,74,63,71,73,74,58,72,2019-11-25 22:25:42
Mykola Morozyuk,Çaykur Rizespor,Turkey Süper Lig,RB,Silver,74,52,38,50,51,73,82,2019-11-25 22:25:42
João Pereira,Trabzonspor,Turkey Süper Lig,RB,Silver,74,63,72,76,73,58,66,2019-11-25 22:25:42
Héctor Canteros,MKE Ankaragücü,Turkey Süper Lig,CM,Silver,74,65,72,75,74,54,63,2019-11-25 22:25:42
Jairo,Hamburger SV,Germany 2. Bundesliga,LM,Silver,74,51,35,54,58,74,77,2019-11-25 22:25:42
Valerio Verre,Hellas Verona,Italy Serie A,CAM,Silver,74,87,39,65,66,69,74,2019-11-25 22:25:42
Jan Kopic,Viktoria Plzeň,Czech Republic HET Liga,LM,Silver,74,74,75,72,73,66,66,2019-11-25 22:25:42
Kemar Roofe,Anderlecht,Belgium Jupiler Pro League,ST,Silver,74,76,72,64,76,38,75,2019-11-25 22:25:42
Diego Oliveira,F.C. Tokyo,Japan J1 League,ST,Silver,74,44,46,63,63,74,79,2019-11-25 22:25:42
John Egan,Sheffield United,England Premier League,CB,Silver,74,71,63,71,70,71,83,2019-11-25 22:25:42
Vadillo,Granada CF,Spain Primera Division,RM,Silver,74,33,26,57,48,77,74,2019-11-25 22:25:42
Lorenzo Melgarejo,Spartak Moskva,Russia FUT League,RW,Silver,74,75,72,69,76,32,60,2019-11-25 22:25:42
Yoshimar Yotún,Cruz Azul,Mexico Liga MX,CM,Silver,74,75,66,71,73,69,80,2019-11-25 22:25:42
Juan Carlos,SD Huesca,Spain Segunda A,CAM,Silver,74,44,41,53,53,75,72,2019-11-25 22:25:42
Dino Arslanagic,Antwerp,Belgium Jupiler Pro League,CB,Silver,74,42,63,69,67,71,69,2019-11-25 22:25:42
Charly Musonda,Vitesse,Holland Eredivisie,RM,Silver,74,70,76,69,74,35,61,2019-11-25 22:25:42
Yassin Ayoub,Feyenoord,Holland Eredivisie,CM,Silver,74,77,68,67,76,48,71,2019-11-25 22:25:42
Emir Dilaver,Dinamo Zagreb,Croatia PRva HNL,CB,Silver,74,86,58,65,70,70,65,2019-11-25 22:25:42
Thomas Delaine,FC Metz,France Ligue 1,LB,Silver,74,37,62,72,70,74,70,2019-11-25 22:25:42
Florian Hübner,1. FC Union Berlin,Germany 1. Bundesliga,CB,Silver,74,66,34,58,63,74,74,2019-11-25 22:25:42
Thievy Bifouma,Yeni Malatyaspor,Turkey Süper Lig,RM,Silver,74,78,73,70,75,48,77,2019-11-25 22:25:42
Leigh Griffiths,Celtic,Scotland Premiership,ST,Silver,74,67,54,69,65,74,73,2019-11-25 22:25:42
Facundo Quignon,Lanús,Argentina Primera División ,CDM,Silver,74,69,69,74,72,68,76,2019-11-25 22:25:42
Johannes Geis,1. FC Nürnberg,Germany 2. Bundesliga,CDM,Silver,74,43,46,63,60,73,76,2019-11-25 22:25:42
Juan Sánchez Miño,Independiente,Argentina Primera División ,LB,Silver,74,64,64,76,75,49,53,2019-11-25 22:25:42
Diego,Toluca,Mexico Liga MX,LM,Silver,74,65,71,75,72,72,73,2019-11-25 22:25:42
Hong Jeong Ho,Jeonbuk Hyundai Motors,Korea K-League Classic,CB,Silver,74,65,49,60,62,73,74,2019-11-25 22:25:42
Camilo,Club Tijuana,Mexico Liga MX,ST,Silver,74,68,70,74,75,64,64,2019-11-25 22:25:42
Lukas Hinterseer,Hamburger SV,Germany 2. Bundesliga,ST,Silver,74,32,39,44,54,76,75,2019-11-25 22:25:42
Graeme Shinnie,Derby County,England EFL Championship,CDM,Silver,74,65,73,72,74,71,73,2019-11-25 22:25:42
Alan Patrick,Shakhtar Donetsk,Ukraine Premier Liga,CAM,Silver,74,67,68,72,74,62,72,2019-11-25 22:25:42
Sonny Kittel,Hamburger SV,Germany 2. Bundesliga,LW,Silver,74,72,65,77,73,48,66,2019-11-25 22:25:42
Gernot Trauner,LASK,Austria Bundesliga,CB,Silver,74,73,74,72,77,52,64,2019-11-25 22:25:42
Anders Christiansen,Malmö FF,Sweden Allsvenskan,CM,Silver,74,32,61,67,64,74,81,2019-11-25 22:25:42
Erik Sviatchenko,FC Midtjylland,Denmark Superliga,CB,Silver,74,83,72,71,74,38,60,2019-11-25 22:25:42
Connor Goldson,Rangers,Scotland Premiership,CB,Silver,74,65,70,74,75,38,67,2019-11-25 22:25:42
Ilie Sánchez,Sporting KC,USA Major League Soccer,CDM,Silver,74,42,45,64,65,71,80,2019-11-25 22:25:42
Timm Klose,Norwich City,England Premier League,CB,Silver,74,56,71,75,72,62,70,2019-11-25 22:25:42
Ilja Nestorovski,Udinese,Italy Serie A,ST,Silver,74,63,42,54,52,73,77,2019-11-25 22:25:42
Georgios Tzavellas,Alanyaspor,Turkey Süper Lig,CB,Silver,74,55,44,64,67,74,72,2019-11-25 22:25:42
Trent Sainsbury,PSV,Holland Eredivisie,CB,Silver,74,70,69,73,75,27,41,2019-11-25 22:25:42
Martin Linnes,Galatasaray,Turkey Süper Lig,RB,Silver,74,70,74,66,74,39,74,2019-11-25 22:25:42
Leandro Damião,Kawasaki Frontale,Japan J1 League,ST,Silver,74,69,75,64,70,44,74,2019-11-25 22:25:42
